Date, Open, High, Low, Close, Volume
12/30/2022,10.5,10.5,10.5,10.5,100
12/29/2022,10.7,10.7,10.7,10.7,100
12/23/2022,10.8,10.8,10.5,10.7,6200
12/22/2022,10.7,10.7,10.7,10.7,300
12/20/2022,10,10,10,10,2400
12/19/2022,10.7,10.7,10.7,10.7,100
12/16/2022,10.7,10.7,10.7,10.7,400
12/14/2022,10.75,10.8,10.75,10.8,200
12/8/2022,10.5,11,10.25,10.75,3300
12/6/2022,11,11,10.5,10.7,800
12/1/2022,11,11,11,11,3000
11/30/2022,11.25,11.25,11.25,11.25,200
11/29/2022,11.25,11.25,11.25,11.25,100
11/28/2022,11.25,11.25,11.25,11.25,100
11/25/2022,11.25,11.25,11.25,11.25,4500
11/17/2022,11.5,11.5,11.5,11.5,700
11/15/2022,11.8,11.8,11.8,11.8,200
11/14/2022,11.95,11.95,11.95,11.95,100
11/8/2022,11,11,10.8,11,7400
11/7/2022,11,11,10.95,10.95,1100
11/4/2022,12,12,12,12,100
11/3/2022,11,12,11,11.55,2300
10/28/2022,11,11,11,11,500
10/27/2022,12.9,12.9,11,11.6,800
10/26/2022,11.8,12,11,11.85,1300
10/25/2022,11.8,12.9,11.7,11.8,2100
10/24/2022,11.8,11.8,11.8,11.8,1700
10/21/2022,12.9,12.9,12.9,12.9,500
10/18/2022,12.9,12.9,12.5,12.85,600
10/17/2022,11.8,11.8,11.8,11.8,2600
10/14/2022,11.8,11.8,11.8,11.8,600
10/6/2022,13,13,13,13,100
10/5/2022,13,13,13,13,100
10/4/2022,13.1,13.1,13.1,13.1,300
9/30/2022,13.45,13.45,13.45,13.45,1000
9/20/2022,13.45,13.45,13.45,13.45,100
9/19/2022,13.45,13.45,13.45,13.45,100
9/15/2022,12.55,12.55,12.55,12.55,300
9/14/2022,13.45,13.45,12.5,13.15,300
9/2/2022,13.5,13.5,13.5,13.5,200
9/1/2022,12.5,13.6,12.5,12.8,400
8/26/2022,12.6,12.6,12.4,12.5,1100
8/25/2022,13.5,13.5,13.5,13.5,1000
8/24/2022,13.6,13.6,13.5,13.5,16000
8/19/2022,13.8,13.8,13.8,13.8,1000
8/18/2022,13.8,13.8,13.8,13.8,900
8/17/2022,13.8,13.8,13.8,13.8,200
8/16/2022,13.7,14,13.7,13.8,800
8/8/2022,13.7,13.7,13.7,13.7,300
8/4/2022,13.7,13.7,13.7,13.7,700
8/3/2022,13.7,13.7,13.7,13.7,1000
8/2/2022,13.7,13.7,13.7,13.7,700
7/27/2022,13.7,13.7,13.7,13.7,2000
7/20/2022,13.75,13.75,13.75,13.75,100
7/14/2022,13.8,13.8,13.8,13.8,100
7/13/2022,13.15,13.15,13.15,13.15,1100
7/8/2022,13.15,13.15,13.15,13.15,100
7/1/2022,12.2,13.45,12.2,13.15,400
6/24/2022,13.45,13.45,13.45,13.45,100
6/17/2022,13.45,13.45,13.45,13.45,100
5/23/2022,13.45,13.45,13.45,13.45,300
5/20/2022,12,13.1,12,12.3,400
5/13/2022,13.1,13.1,13.1,13.1,300
5/12/2022,13.1,13.1,13.1,13.1,1100
5/10/2022,12,12,12,12,100
5/6/2022,11.5,11.5,11.5,11.5,100
