Date, Open, High, Low, Close, Volume,Company
12/21/2023,13.95,13.95,13.95,13.95,100,EGAD
12/20/2023,12.8,12.8,12.8,12.8,1000,EGAD
12/13/2023,13.65,13.65,13.5,13.55,500,EGAD
12/08/2023,13.95,13.95,13.95,13.95,100,EGAD
12/06/2023,13.95,13.95,13.95,13.95,500,EGAD
12/04/2023,13.95,13.95,13.95,13.95,100,EGAD
12/01/2023,12.7,12.7,12.7,12.7,1900,EGAD
11/28/2023,11.85,11.85,11.8,11.8,2100,EGAD
11/27/2023,11.85,11.85,11.8,11.8,1900,EGAD
11/21/2023,13,13,13,13,100,EGAD
11/17/2023,11.8,12.9,11.8,12.8,1000,EGAD
11/16/2023,11.8,11.8,11.8,11.8,1800,EGAD
11/10/2023,11.85,11.85,11.8,11.8,5400,EGAD
11/09/2023,11.85,11.85,11.8,11.8,800,EGAD
11/08/2023,13.1,13.1,13.1,13.1,600,EGAD
11/02/2023,13.1,13.1,13.1,13.1,200,EGAD
11/01/2023,13.1,13.1,13.1,13.1,800,EGAD
10/31/2023,13.1,13.1,13.1,13.1,1000,EGAD
10/30/2023,13.35,13.35,13.35,13.35,400,EGAD
10/27/2023,13.9,13.9,13.4,13.4,3300,EGAD
10/25/2023,14,14,14,14,500,EGAD
10/23/2023,13.2,13.2,13.2,13.2,1900,EGAD
10/18/2023,13.5,13.5,13.5,13.5,400,EGAD
10/16/2023,13.7,13.7,13.7,13.7,100,EGAD
10/13/2023,13.5,13.5,13.5,13.5,800,EGAD
10/12/2023,13.5,13.5,13.5,13.5,100,EGAD
10/09/2023,13.7,13.7,13.7,13.7,100,EGAD
10/05/2023,13.7,13.7,13.7,13.7,300,EGAD
10/04/2023,13.7,13.7,13.7,13.7,100,EGAD
10/03/2023,14,14,14,14,100,EGAD
09/19/2023,14,14,14,14,18500,EGAD
09/18/2023,13.45,13.45,13.45,13.45,100,EGAD
09/15/2023,13.45,13.45,13.45,13.45,3500,EGAD
09/14/2023,13.45,13.45,13.45,13.45,100,EGAD
09/08/2023,13.45,13.45,13.45,13.45,2000,EGAD
09/07/2023,13.45,14.5,13.45,13.75,2900,EGAD
09/05/2023,13.45,13.45,13.45,13.45,6100,EGAD
09/04/2023,13.45,13.45,13.45,13.45,21600,EGAD
09/01/2023,13.45,13.45,13.45,13.45,100,EGAD
08/31/2023,13.45,13.45,13.45,13.45,100,EGAD
08/29/2023,13.4,13.4,13.4,13.4,200,EGAD
08/16/2023,14,14,14,14,1600,EGAD
08/15/2023,14,14,14,14,100,EGAD
08/14/2023,14,14,14,14,100,EGAD
08/11/2023,14.4,14.4,14.4,14.4,800,EGAD
08/07/2023,14.4,14.4,14.4,14.4,1100,EGAD
08/02/2023,14,14,13,13.1,1000,EGAD
07/31/2023,14,14,14,14,2000,EGAD
07/21/2023,14.35,14.35,14,14,1700,EGAD
07/20/2023,14.5,14.5,14,14.35,600,EGAD
07/19/2023,14.5,14.5,14,14.3,500,EGAD
07/18/2023,14,14,14,14,3800,EGAD
07/17/2023,14,14,14,14,100,EGAD
07/14/2023,13,13,13,13,3000,EGAD
07/12/2023,13,13,13,13,6000,EGAD
07/11/2023,13,13,13,13,2000,EGAD
07/10/2023,13,13,13,13,2000,EGAD
